iteration,energy_mean,energy_std,energy_error,acceptance_rate,gradient_norm
1.0,2.000459955788003,0.018712822780965765,0.00020921571894573054,0.43722222222222223,0.03610867844238868
2.0,2.0052621987456303,0.06785440836072176,0.0007586353483380196,0.435875,0.1325136030892526
3.0,2.0003949262720684,0.021755358212929368,0.00024323229919484204,0.4345,0.042126472257725936
4.0,2.0002258738776715,0.028635997433452434,0.00032016018432354574,0.44125,0.055094484131940555
5.0,2.0046437547749103,0.051573320812303036,0.0005766072558085713,0.443125,0.10332680473053267
6.0,2.001780933636028,0.04123933334742049,0.0004610697635580308,0.435625,0.08081992325541454
7.0,1.9997178765023118,0.018169833349236015,0.00020314491254367202,0.437125,0.03538594496222517
8.0,2.0006309277955374,0.011801311028721765,0.00013194266841919919,0.439375,0.023238887118944288
9.0,1.9993820151411728,0.028840198637644913,0.00032244322319185427,0.43725,0.05576262314640538
10.0,2.0018687889830193,0.0360040234358262,0.00040253721933001456,0.43675,0.07223653234429851
11.0,2.0020817993754343,0.027223538704809216,0.00030436841566024994,0.44,0.05021596822572635
12.0,2.0005678349722515,0.018651486814632398,0.0002085299619947953,0.441375,0.03757438123687105
13.0,1.999468107591411,0.01210964997983258,0.000135390002693173,0.424375,0.022169698880852823
14.0,2.0002110500156753,0.01824847237527613,0.0002040241235832224,0.437875,0.03441461358564491
15.0,2.0001964269908923,0.02330494532112475,0.000260557209749753,0.4385,0.04542492279254098
16.0,2.001767293856008,0.02202735664498277,0.0002462733341140659,0.430375,0.04174354100652585
17.0,2.000060730965074,0.018812264670662375,0.00021032751307159382,0.437875,0.03577653264239048
18.0,1.9994791039559197,0.01586568187611897,0.00017738371592194204,0.438125,0.030250580252102494
19.0,2.00124715535896,0.014684563351057821,0.00016417840936433698,0.428625,0.028170136273701435
20.0,1.999700412421307,0.013881915470063635,0.00015520453324484117,0.4425,0.02643374032400737
21.0,2.0002844101296544,0.014100382401791269,0.00015764706779573513,0.43225,0.027373491000345345
22.0,2.0008818839847713,0.013776136165310999,0.00015402188466464336,0.427375,0.024966193877329634
23.0,1.999899423924949,0.015656709042387962,0.0001750473286135756,0.43975,0.030685415243999023
24.0,1.9998433696546731,0.013364792010885137,0.00014942291720742638,0.434375,0.024659653512879756
25.0,2.000295624183092,0.010332280020183573,0.00011551840243846683,0.42925,0.018988332680375534
26.0,2.000475152482344,0.007821509654718863,8.744713637311143e-05,0.43975,0.014196404758779868
27.0,2.00044756608315,0.009040322759148857,0.00010107388113997651,0.437625,0.016646055453688167
28.0,1.9991689356059215,0.011283368825042918,0.00012615189853998948,0.42875,0.020489903641198216
29.0,2.0004075129748635,0.012593128409428335,0.0001407954558643278,0.43675,0.02403827938075606
30.0,2.000058513544714,0.009654820197415533,0.00010794417135979535,0.4365,0.017061060487311416
31.0,2.0003624341731876,0.007066271396810184,7.900331595364982e-05,0.439125,0.013311225058505868
32.0,1.9998719545953545,0.00606222418823832,6.777772689872181e-05,0.434375,0.011395529320964343
33.0,2.0002102564310618,0.007835944249646237,8.760852005053784e-05,0.43625,0.014336043744826043
34.0,2.0004478035505824,0.009179428629552476,0.00010262913205143535,0.441125,0.01726067236556973
35.0,2.0006894074597263,0.007981995875273007,8.924142686616688e-05,0.41975,0.014801331276186552
36.0,2.0000423018581865,0.005804028043475736,6.489100624263426e-05,0.4385,0.010897415033645113
37.0,2.0001473156641754,0.004731615340959892,5.290106772883582e-05,0.434,0.008635633380991464
38.0,1.9997145491819996,0.005871294429991888,6.56430673068887e-05,0.433375,0.010739329543965408
39.0,2.000059905866441,0.006774274996240854,7.57386969493584e-05,0.430125,0.012695392890935351
40.0,2.000022412363473,0.0059756744330416115,6.68100712184428e-05,0.429375,0.011117404370410828
41.0,2.0004651916885168,0.004702552702772022,5.2576137555868015e-05,0.43725,0.008745148444301682
42.0,1.9997849692638443,0.004591562491222143,5.133522926655497e-05,0.436,0.008674922017508755
43.0,2.000124292945149,0.005105487863144202,5.708108960145289e-05,0.4465,0.009558711092289297
44.0,2.000067886558565,0.004855442533953993,5.428549783382479e-05,0.44575,0.008848748279885047
45.0,1.9999515598810418,0.0039033354377523907,4.364061688899122e-05,0.437625,0.006992555000750998
46.0,1.9999755691855718,0.003414483738053466,3.817508873177568e-05,0.420875,0.006046230626728649
