iteration,energy_mean,energy_std,energy_error,acceptance_rate,gradient_norm
1.0,1.9983949723447927,0.01909407229203475,0.0002134782180614246,0.9934444444444445,0.039033815642909524
2.0,2.0058370087432675,0.0731325495505146,0.0008176467608141116,0.99275,0.15537593034631542
3.0,1.9990182114022272,0.021479955997818833,0.00024015320882413615,0.993875,0.04395006592936857
4.0,1.9992719191526827,0.029294433238719365,0.0003275217204205291,0.99375,0.05764044927911402
5.0,2.0004324089965837,0.0515521002429929,0.0005763700026310777,0.995375,0.10146445927267815
6.0,2.0018709200426703,0.0463796759647358,0.0005185405411578119,0.99425,0.09173812271902501
7.0,1.9996956952021543,0.025350595937008107,0.0002834282789264005,0.994125,0.048888864310832766
8.0,1.998259251646371,0.011083927270679644,0.00012392207417451698,0.995625,0.02150373139071918
9.0,2.000299517811511,0.026079554882615024,0.0002915782877023187,0.994,0.05179076441037508
10.0,2.0018910015772575,0.033171133463847195,0.00037086454657940196,0.992125,0.0626951311869692
11.0,2.0011765858326425,0.03417509356381788,0.00038208916173056157,0.9925,0.06918447010088244
12.0,2.0041302840115267,0.02480418535972207,0.0002773192229542181,0.994375,0.05024658386849317
13.0,2.0021862963348043,0.0156989437324111,0.00017551952680307744,0.994625,0.03116505570018783
14.0,2.0000887692700773,0.017247643190568623,0.000192834513128864,0.994125,0.03442769764045677
15.0,1.9975000299361974,0.021327907048577305,0.0002384532498920788,0.993875,0.0418568639902112
16.0,2.000750458986738,0.021311531112129547,0.0002382701613566168,0.994125,0.03951752018745006
17.0,1.9998255755995629,0.01934018241313913,0.00021622981286512508,0.994,0.03471068617184972
18.0,2.0016437661146447,0.017888849836631016,0.0002000034213699648,0.99475,0.03304688465452642
19.0,2.0017013695754797,0.01697087114310177,0.00018974010756682557,0.99425,0.032281233206472124
20.0,1.9993122947484443,0.016718619647739234,0.00018691985011154257,0.994,0.03410835082189873
21.0,1.9995961624503666,0.013329808339696483,0.0001490317878730247,0.99275,0.025479810721229294
22.0,2.0015334507617877,0.011667570122680425,0.00013044739963279496,0.99425,0.022189152536917375
23.0,1.9982383366045042,0.012185357852960503,0.00013623644244690285,0.9945,0.022281818771807526
24.0,2.0020367010070537,0.014920676578121163,0.00016681823549483934,0.994875,0.028691906720330906
25.0,2.0000839064524745,0.015063989487625483,0.00016842052253336403,0.994,0.028529774072413788
26.0,2.0023777743169013,0.012234154624752594,0.00013678200694095116,0.99425,0.02179197787579637
27.0,1.999870954018963,0.009609979173824586,0.0001074428334751452,0.993375,0.017809893301395846
28.0,1.9999050806889616,0.00771844903679939,8.629488363575606e-05,0.992875,0.014338524817252438
29.0,2.0012929651252422,0.008706222118369309,9.733852241942996e-05,0.993625,0.016284236900684028
30.0,2.000388435634061,0.010875158697357844,0.00012158797056695101,0.993875,0.02092580385944787
31.0,2.001243453154817,0.011336477220979701,0.00012674566845744258,0.99375,0.02150671419632811
32.0,1.999217282208187,0.010394793175178524,0.00011621732075875029,0.99475,0.02041548742719963
33.0,1.9986943029556319,0.007766559710612568,8.683277732120398e-05,0.994625,0.015367550431885363
34.0,1.9998605469226196,0.005498710016411819,6.147744692627906e-05,0.992875,0.009885416616853274
35.0,1.999287278249663,0.006735825138935094,7.530881447605418e-05,0.994,0.012676927118070783
36.0,2.000463944538041,0.008212339218373773,9.181674373285623e-05,0.9935,0.014973176743476216
37.0,2.0006032972136176,0.009014898403249792,0.00010078962819960422,0.99425,0.016496342209640233
38.0,1.9995243219808254,0.009066327777868338,0.00010136462608804109,0.994375,0.018344397133610975
39.0,1.9998787379291103,0.006243562487552776,6.980515071967845e-05,0.994625,0.012076080585512015
40.0,2.000044416982126,0.00373142149731626,4.171856060351603e-05,0.9945,0.006626153625699547
41.0,2.000197478111818,0.004612583039478455,5.1570246140682105e-05,0.994125,0.008579368410356064
42.0,1.9999549033066912,0.005970047938896962,6.674716510153058e-05,0.9945,0.010588502831520661
43.0,2.000638669863509,0.006897419392239402,7.711549315186293e-05,0.993,0.012463039480953864
44.0,1.999348958576501,0.006767670132240978,7.566485232492909e-05,0.995125,0.012712123413402028
45.0,1.9998938328681952,0.00518479192843272,5.7967736005838926e-05,0.994625,0.009993632422526696
46.0,1.9998800441403146,0.0028395580047484675,3.174722362335622e-05,0.994,0.00517658555620013
47.0,1.9994998098565975,0.0030410632016838685,3.400012021419141e-05,0.99425,0.005551239976879949
48.0,2.0002607800172667,0.004662452046769772,5.2127798592051196e-05,0.993375,0.008462196774350037
49.0,2.0003335578100887,0.005504485458137355,6.1542018327771e-05,0.995125,0.010023789208842431
50.0,1.9996290990804628,0.00518191784189595,5.7935602741491755e-05,0.99425,0.009605084748059505
51.0,2.000335224222363,0.00377099401309499,4.216099478012565e-05,0.99375,0.007028408941697414
52.0,2.000109871071385,0.002209145972238047,2.4699002830720682e-05,0.99375,0.004134053285778781
53.0,2.0000025573199873,0.002455931832643277,2.7458152629480022e-05,0.994875,0.004520241308379196
