iteration,energy_mean,energy_std,energy_error,acceptance_rate,gradient_norm
1.0,3.258023028088178,2.0258114308771713,0.018493043632387404,0.9975714285714286,0.15410608350807312
2.0,3.406349353813224,16.933191069898623,0.15457817865880855,0.9979166666666667,0.5048765364584232
3.0,3.1191388197695304,1.3481663175873861,0.012307018390188086,0.99775,0.30860397702201253
4.0,3.241884401192314,1.9566380580564515,0.01786158002117702,0.9975,0.30042876564811055
5.0,3.213576443023906,2.003746474564907,0.018291619060677517,0.997,0.21066443631567452
6.0,3.2852502020393075,7.7285294939489795,0.07055149900299737,0.9974166666666666,0.313651899499273
7.0,3.2673075446432978,1.68548988645544,0.015386347187641094,0.9980833333333333,0.340545630680844
8.0,3.218748477083269,1.5886872091981488,0.014502663688295914,0.9965833333333334,0.18243086100360598
9.0,3.185744089668477,1.3926763700569296,0.01271333771974321,0.99725,0.16137769924036127
10.0,3.303460877701547,3.0330887330229594,0.02768818529985732,0.9968333333333333,0.40745518328276586
11.0,3.2602372437902543,1.7505703613059151,0.015980447923120308,0.9963333333333333,0.30749139441664614
12.0,3.2164153769767854,1.5353174407235202,0.014015466586922879,0.9983333333333333,0.15680949979136516
13.0,3.2739018414001104,2.029808881780242,0.018529535199589595,0.9975,0.16326053468041923
14.0,3.270927593463049,1.6968967119341336,0.015490476781377846,0.9970833333333333,0.3317812926854012
15.0,3.1847806760487014,1.6493179124585962,0.015056143752515065,0.9975,0.17776337869808392
16.0,3.1685570564115695,1.135311046046575,0.010363924495074924,0.9976666666666667,0.1636072809683819
17.0,3.2888629036642607,3.3060839630249386,0.030180279392580573,0.9978333333333333,0.220794418927008
18.0,3.2646567587654003,1.39157645709123,0.012703296934033107,0.9966666666666667,0.10533981043161339
19.0,3.199395851605104,1.1306457570049127,0.010321336427651588,0.9975,0.18102092891189495
20.0,3.2348873360779384,2.1342508929640074,0.019482955957532178,0.9973333333333333,0.21081487004088242
21.0,3.2161826810595078,2.072538668734763,0.01891960300279594,0.99725,0.38038501989670775
22.0,3.2739634231646204,2.8932206975329264,0.02641137066466025,0.9971666666666666,0.18507883900957786
23.0,3.263689609626961,1.510189225698261,0.013786078416936633,0.9976666666666667,0.25047817482321005
24.0,3.223994284420329,1.4672290714969167,0.01339390765810369,0.99725,0.14158543890034414
25.0,3.2493187842089792,1.3119587996476059,0.011976490484739907,0.9969166666666667,0.15274372833759275
26.0,3.2235478119330945,1.3637601649441984,0.012449370089448391,0.9979166666666667,0.12474635816268984
27.0,3.2063804337515216,1.3933760697995825,0.012719725075285402,0.9975833333333334,0.18609385302589443
28.0,3.2304594108474713,1.7607637186186504,0.01607350011873523,0.998,0.0820504618040286
29.0,3.2233503102175103,1.3518063598302053,0.01234024727763248,0.9970833333333333,0.06626852325063654
30.0,3.2221169817837167,1.647556696852575,0.0150400661272476,0.9970833333333333,0.2016963817386631
31.0,3.236704379387532,2.8951813064741576,0.02642926849371956,0.99675,0.10959755543147495
32.0,3.2967246073321057,1.726262574666149,0.01575854920535993,0.997,0.18986457323726588
33.0,3.204782505823247,1.242193825585173,0.011339626317777286,0.997,0.15216503959658048
34.0,3.162940197918843,1.5599847077733362,0.014240646896842681,0.9970833333333333,0.10688792976466374
35.0,3.2565098873660614,1.6560136351344628,0.015117267058321249,0.99775,0.3079632570085489
36.0,3.2438666535131313,1.7955861258320573,0.016391383751025456,0.9976666666666667,0.12712871878553222
37.0,3.2168110205902205,1.628615543712627,0.014867157846582445,0.9970833333333333,0.2640122502463888
38.0,3.2343394880841663,1.6496539677194222,0.01505921150329711,0.997,0.19290936319861374
39.0,3.227187874034685,2.1039050923569738,0.01920593796556507,0.9976666666666667,0.13259778086422744
40.0,3.2232787222259653,1.624848422954588,0.014832768896315381,0.9974166666666666,0.13745724597691267
41.0,3.223861814525631,2.2717126259505735,0.02073780415670708,0.99775,0.23589191786765792
42.0,3.2275851355360157,1.3499114965382184,0.012322949621492319,0.9981666666666666,0.1451397565841473
43.0,3.1962764217717163,1.4139660558563998,0.01290768507231933,0.99775,0.16829482438766422
44.0,3.1306539788826,1.1987223506602018,0.010942787860703504,0.9970833333333333,0.2145604596633108
45.0,3.2175401177201453,1.4184798356716535,0.012948890056059762,0.9974166666666666,0.18611223123212645
46.0,3.1515985779221345,1.2071059012052434,0.011019318856461905,0.9968333333333333,0.20541571398788308
47.0,3.2364869612305642,1.6505401167916813,0.01506730090056692,0.9974166666666666,0.14258046149721113
48.0,3.1800960160064307,1.4681174101934913,0.013402017043817334,0.99725,0.05929720772256177
49.0,3.1947883721758528,1.6610304895632821,0.015163064463960983,0.9975833333333334,0.13217108736886002
50.0,3.2144484891328355,2.478602750352195,0.02262644395770405,0.9970833333333333,0.10157477205478811
51.0,3.1974317931656295,1.4921137026228186,0.013621072221484551,0.9968333333333333,0.20746075910753037
52.0,3.2339981441819434,1.5207263675371419,0.013882268921549742,0.9976666666666667,0.16875758027182303
53.0,3.2561899800503826,1.5695982217744986,0.014328405871431487,0.9964166666666666,0.12172489749812604
54.0,3.251790802682429,1.8319017249698166,0.01672289829830989,0.9965833333333334,0.12420659730369873
55.0,3.2419211130355374,1.7764734844640246,0.016216910004179158,0.9975,0.05724870494329616
56.0,3.1976783764276333,1.3036052402532452,0.011900233269477398,0.99675,0.18296033115487087
