iteration,energy_mean,energy_std,energy_error,acceptance_rate,gradient_norm
1.0,3.2514104577819274,1.9162830970879776,0.008569878538445095,0.9879827586206896,0.28117971642417217
2.0,3.288165899954162,2.048817948828312,0.009162592414203584,0.98832,0.653215102881358
3.0,3.2746195084128127,2.0717653208523905,0.009265216181705215,0.98814,0.41123834708548224
4.0,3.25684832541803,2.091438224594385,0.009353196081869035,0.98858,0.2726871041754631
5.0,3.2647725062773625,2.065774191639049,0.009238423037339181,0.98862,0.5292300212895178
6.0,3.2928622814630666,2.122773543132417,0.009493331886564331,0.98814,0.6254104249047765
7.0,3.2315935554231774,1.8240587965571604,0.00815743892811654,0.98868,0.3103431899057992
8.0,3.2424010469517413,2.1884834844841214,0.009787195677884204,0.9872,0.15198860641545958
9.0,3.2729855308845344,1.913497342234295,0.008557420264002125,0.98844,0.46634282137705296
10.0,3.281538593795498,2.965651680602464,0.013262797510827208,0.98834,0.5029874602885483
11.0,3.2591064592604293,2.427814629850889,0.010857517098230155,0.98696,0.44476404207222503
12.0,3.237619132646558,1.8510404341475977,0.008278104479709503,0.98894,0.16293663005746123
13.0,3.2512061001207453,2.195080736059383,0.00981669948385811,0.98832,0.23289295259284
14.0,3.2209141108396393,1.6628626189978521,0.007436547706645061,0.98854,0.2600839278134746
15.0,3.2380412667184446,1.940836881995341,0.00867968640276064,0.9882,0.3832302213043047
16.0,3.2549020781650357,1.952749223238916,0.008732960012344257,0.98732,0.2770434816812086
17.0,3.238505161584573,1.5170633364550132,0.006784513492972089,0.98818,0.14387395757687807
18.0,3.2305698834744567,1.797243853655904,0.00803751885783657,0.98828,0.20158695103963262
19.0,3.2637157689505045,3.808872662258435,0.017033796380900915,0.9885,0.17489292558859007
20.0,3.2363801103548018,1.4976915808730482,0.006697880368322519,0.9872,0.36856368557294844
21.0,3.2311529306294164,1.647386246225286,0.007367335263515891,0.98812,0.4654221691683839
22.0,3.246485959008604,3.1255487080760385,0.013977878756489336,0.98738,0.29349981366742023
23.0,3.2264632740522536,1.5647966983989885,0.006997983577174749,0.98852,0.2410003054043925
24.0,3.228272617652572,1.9576397834487849,0.008754831262498902,0.9886,0.03143460937498518
25.0,3.233133569923734,2.290465753113522,0.010243274248194172,0.98862,0.1653268348107774
26.0,3.232001287582956,2.045293460160192,0.009146830421707896,0.9889,0.21472912263105895
27.0,3.2759465146375226,2.286076532146277,0.010223645055292116,0.988,0.383895785812799
28.0,3.250700699888451,2.9741619792118485,0.01330085672322602,0.98842,0.21959755308846088
29.0,3.242453768587003,1.829960814609182,0.008183833555254042,0.98752,0.08783705344381128
30.0,3.217019009451544,1.6932828135862867,0.007572590952622083,0.98752,0.14821306833006306
31.0,3.2123486160616332,1.7327292787852737,0.007749000907936112,0.9885,0.1373709074016493
32.0,3.207175996486198,1.7208153461870155,0.007695720181598,0.9872,0.07580621855453476
33.0,3.2200208917944315,1.8372563295731779,0.008216460090034766,0.98826,0.08379987966618165
34.0,3.2387123911334337,1.9869471408726678,0.008885897749380272,0.98838,0.16534283947593087
35.0,3.2174610683026836,2.0202901203735917,0.009035012086853167,0.98812,0.1177083299084358
36.0,3.216558674894228,1.7005451033632724,0.0076050688998493664,0.98784,0.08069300137048849
37.0,3.2249209358569257,2.061195427235122,0.009217946180418908,0.98806,0.09394962655772114
38.0,3.2456746931018836,2.028868825903544,0.009073377224301021,0.98812,0.1412378295297872
39.0,3.2569463172991817,5.110527890882797,0.022854975529845126,0.98734,0.15639706523912522
40.0,3.2375611119564307,3.504952769957637,0.01567462530310292,0.9882,0.130230842737786
41.0,3.2416708661814604,1.5431152728654611,0.006901021294490615,0.98802,0.11182849765194776
42.0,3.238163596387553,3.4029019106091463,0.015218239985771927,0.98852,0.1217461582139729
43.0,3.232893938534792,1.6914599437861568,0.007564438831047639,0.98876,0.16041518878197172
44.0,3.224700614879983,1.6739604978270892,0.007486178929581521,0.98826,0.07663276465280949
45.0,3.2376582370090565,1.523158200744206,0.006811770554700631,0.9886,0.06842612674008962
46.0,3.231924183400253,1.6279139832747016,0.007280252656249377,0.98758,0.07861763180748081
47.0,3.240718759447946,1.9887848040648912,0.008894116029015393,0.98884,0.09858975680909046
48.0,3.226768648460047,2.2379854013440346,0.010008574980114822,0.98936,0.06321734383548121
49.0,3.2177293486058507,1.6901904545055806,0.0075587615023914876,0.98912,0.10730864985800824
50.0,3.2380512460165196,1.8997262171213636,0.008495833920243787,0.98796,0.10682842831903254
51.0,3.2095200682154363,1.62196297726366,0.007253638948298979,0.98854,0.13305985472574858
52.0,3.230936117257343,1.914322376716851,0.008561109930375678,0.98794,0.13133855327560054
53.0,3.2365549540241947,1.875394869413064,0.008387020825323905,0.98834,0.11973485995911391
54.0,3.2417753249383536,2.3002974663866627,0.01028724300662223,0.98864,0.10474309203526855
55.0,3.2349753310460505,2.3589962371096003,0.010549751889686557,0.98826,0.10489906056791025
56.0,3.212918432525214,1.7966819100829876,0.00803500576977945,0.98814,0.14508534625988123
57.0,3.2103938946115353,1.4390882737898512,0.006435798411633872,0.98842,0.12960946867600556
58.0,3.2142523936631706,1.4993069266147736,0.006705104414093845,0.98928,0.1317663022846482
59.0,3.2204468136941795,2.1944112055655665,0.009813705252463743,0.9883,0.10715433657163323
60.0,3.1919253283274016,1.4543909676944367,0.006504234139252922,0.98906,0.21466587379418475
61.0,3.2038297411159,1.5230265300941535,0.006811181705652313,0.9884,0.13663946499661936
62.0,3.199468075702486,1.468825641035074,0.00656878796089826,0.98914,0.11053618885333848
63.0,3.1995429541671703,1.5791853350748966,0.007062331516596503,0.98814,0.10111088484800952
64.0,3.1927020775019983,1.6856012341281272,0.007538237884936062,0.9887,0.13834033534927623
65.0,3.214748842460886,2.7037725147711162,0.01209163827744754,0.98908,0.28702153826290283
66.0,3.1961404252791863,1.6842240595517997,0.007532078972996956,0.9885,0.12862206134013648
